Client Name,Client ID,GL Check Date,GL Org Description,GL Org Code,GL Account Number,Debit Amount,Credit Amount,GL Account Name
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,100-03,,10314.2100,NET PAYROLL
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,100-03,,5206.3300,NET PAYROLL TAXES
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,100-03,,400.0000,PARTIAL DIRECT DEPOSITS
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,110-00,,250.0000,DUE FROM EMPLOYEES
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,145-00,,27.6000,TRANSPORTATION
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,216.7800,,PAYROLL COSTS FICA
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,926.9300,,PAYROLL COSTS FICA
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,10.3800,,PAYROLL COSTS FUI
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,89.7000,,PAYROLL COSTS NY MTA TAX
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,36.3500,,PAYROLL COSTS SUI
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-05,,4.8000,NY SDI
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-05,,55.0500,NYS PFL
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-06,,266.5100,EMPLOYEE BENEFITS
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-51,1096.1500,,PAYROLL COSTS: PAID TIME OFF
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-52,482.7000,,PAYROLL COSTS: BONUS
"38 MACDOUGAL, LLC.",154921,09/18/2026,MANAGEMENT,250,600-01,5875.0200,,WAGES:FOH MANAGEMENT
"38 MACDOUGAL, LLC.",154921,09/18/2026,KITCHEN,251,600-02,7790.4900,,WAGES:BOH MANAGEMENT
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,16524.5000,16524.5000, 
*TOTAL Client ID      154921
 ,, , , , ,16524.5000,16524.5000, 
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,100-08,,8188.9700,NET PAYROLL
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,100-08,,3548.6800,NET PAYROLL TAXES
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,145-00,,30.4500,TRANSPORTATION
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,220-00,,17.4000,401K Payable
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,158.8700,,PAYROLL COSTS FICA
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,679.3000,,PAYROLL COSTS FICA
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,12.6100,,PAYROLL COSTS NY MTA TAX
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-05,,3.6000,NY SDI
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-05,,48.6100,NYS PFL
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-06,,262.7800,EMPLOYEE BENEFITS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-52,346.1600,,PAYROLL COSTS: BONUS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026, MANAGEMENT,250,600-01,7182.3700,,WAGES:FOH MANAGEMENT
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,KITCHEN,251,600-02,3721.1800,,WAGES:BOH MANAGEMENT
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,12100.4900,12100.4900, 
*TOTAL Client ID      154922
 ,, , , , ,12100.4900,12100.4900, 
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,100-07,,6763.7500,NET PAYROLL
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,100-07,,3015.4600,NET PAYROLL TAXES
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,145-00,,65.0000,TRANSPORTATION
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,220-00,,100.0000,401K Payable
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,132.5400,,PAYROLL COSTS FICA
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,566.7300,,PAYROLL COSTS FICA
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,54.8400,,PAYROLL COSTS NY MTA TAX
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,27.7900,,PAYROLL COSTS SUI
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-05,,3.0000,NY SDI
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-05,,40.3300,NYS PFL
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-06,,131.2900,EMPLOYEE BENEFITS
SECOND STREET RESTAURANT LLC,155030,09/18/2026,MANAGEMENT,250,600-01,5202.3100,,WAGES:FOH MANAGEMENT
SECOND STREET RESTAURANT LLC,155030,09/18/2026,KITCHEN,251,600-02,4134.6200,,WAGES:BOH MANAGEMENT
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,10118.8300,10118.8300, 
*TOTAL Client ID      155030
 ,, , , , ,10118.8300,10118.8300, 
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,100-11,,144.0000,CHILD SUPPORT/GARNISHMENTS
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,100-11,,19562.8400,NET PAYROLL
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,100-11,,8845.2500,NET PAYROLL TAXES
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,145-00,,33.0000,TRANSPORTATION
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,220-00,,575.0000,401K Payable
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,390.2300,,PAYROLL COSTS FICA
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,1668.6000,,PAYROLL COSTS FICA
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,9.8100,,PAYROLL COSTS FUI
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,161.4800,,PAYROLL COSTS NY MTA TAX
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,71.9200,,PAYROLL COSTS SUI
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-05,,6.6000,NY SDI
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-05,,81.2500,NYS PFL
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-06,,131.2900,EMPLOYEE BENEFITS
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-51,2019.2700,,PAYROLL COSTS: PAID TIME OFF
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-52,5000.0000,,PAYROLL COSTS: BONUS
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,MANAGEMENT,250,600-01,7827.2100,,WAGES:FOH MANAGEMENT
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,KITCHEN,251,600-02,12230.7100,,WAGES:BOH MANAGEMENT
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,29379.2300,29379.2300, 
*TOTAL Client ID      155090
 ,, , , , ,29379.2300,29379.2300, 
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,100-06,,5027.6200,NET PAYROLL
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,100-06,,2645.6500,NET PAYROLL TAXES
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,102.6600,,PAYROLL COSTS FICA
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,438.9800,,PAYROLL COSTS FICA
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,42.4900,,PAYROLL COSTS NY MTA TAX
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,42.5000,,PAYROLL COSTS SUI
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-05,,2.4000,NY SDI
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-05,,31.1500,NYS PFL
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-06,,131.4900,EMPLOYEE BENEFITS
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,MANAGEMENT,250,600-01,3365.5200,,WAGES:FOH MANAGEMENT
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,KITCHEN,251,600-02,3846.1600,,WAGES:BOH MANAGEMENT
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,7838.3100,7838.3100, 
*TOTAL Client ID      155093
 ,, , , , ,7838.3100,7838.3100, 
