JENumber,Type,Date,ReversalDate,JEComment,JELocation,Account,Debit,Credit,DetailLocation,DetailComment
Payroll,Standard,9/13/2026,,,200,100-11,,32848.27,200,NET PAYROLL TAXES
Payroll,Standard,9/13/2026,,,200,110-00,,300.00,200,DUE FROM EMPLOYEES
Payroll,Standard,9/13/2026,,,200,145-00,,31.90,200,TRANSPORTATION
Payroll,Standard,9/13/2026,,,200,210-00,38202.98,,200,PAYROLL COST: TIPS
Payroll,Standard,9/13/2026,,,200,220-00,,1046.15,200,401K Payable
Payroll,Standard,9/13/2026,,,200,610-01,1239.35,,200,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,200,610-01,5299.31,,200,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,200,610-01,54.91,,200,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,200,610-01,512.81,,200,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,200,610-01,337.54,,200,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,200,610-05,,56.93,200,NY SDI
Payroll,Standard,9/13/2026,,,200,610-05,,369.39,200,NYS PFL
Payroll,Standard,9/13/2026,,,200,610-51,1063.50,,200,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,200,600-13,611.49,,200,WAGES:TRAINING
Payroll,Standard,9/13/2026,,,200,600-18,568.80,,200,POLISHER
Payroll,Standard,9/13/2026,,,200,600-17,700.00,,200,WAGES:EXPO
Payroll,Standard,9/13/2026,,,200,600-08,3436.17,,200,WAGES:PASTRY
Payroll,Standard,9/13/2026,,,200,600-01,671.50,,200,WAGES:FOH MANAGEMENT
Payroll,Standard,9/13/2026,,,200,600-06,2055.86,,200,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,200,600-11,3044.22,,200,WAGES:BUSSERS
Payroll,Standard,9/13/2026,,,200,600-03,6786.52,,200,WAGES:WAITERS
Payroll,Standard,9/13/2026,,,200,600-10,10515.80,,200,WAGES:LINE COOK
Payroll,Standard,9/13/2026,,,200,600-06,1739.37,,200,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,200,600-12,6518.60,,200,WAGES:PREP COOK
Payroll,Standard,9/13/2026,,,200,600-05,4277.75,,200,WAGES:DISHWASHERS
Payroll,Standard,9/13/2026,,,200,600-04,2857.95,,200,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,200,600-16,2454.04,,200,WAGES:RUNNER
Payroll,Standard,9/13/2026,,,200,100-11,,48153.71,200,NET PAYROLL
Payroll,Standard,9/13/2026,,,200,100-11,,144.00,200,CHILD SUPPORT/GARNISHMENTS
Payroll,Standard,9/13/2026,,,200,145-00,,33.00,200,TRANSPORTATION
Payroll,Standard,9/13/2026,,,200,220-00,,575.00,200,401K Payable
Payroll,Standard,9/13/2026,,,200,610-01,390.23,,200,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,200,610-01,1668.60,,200,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,200,610-01,9.81,,200,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,200,610-01,161.48,,200,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,200,610-01,71.92,,200,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,200,610-05,,6.60,200,NY SDI
Payroll,Standard,9/13/2026,,,200,610-05,,81.25,200,NYS PFL
Payroll,Standard,9/13/2026,,,200,610-06,,131.29,200,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,200,610-51,2019.27,,200,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,200,610-52,5000.00,,200,PAYROLL COSTS: BONUS
Payroll,Standard,9/13/2026,,,200,600-01,7827.21,,200,WAGES:FOH MANAGEMENT
Payroll,Standard,9/13/2026,,,200,600-02,12230.71,,200,WAGES:BOH MANAGEMENT
Payroll,Standard,9/13/2026,,,200,100-11,,19562.84,200,NET PAYROLL
Payroll,Standard,9/13/2026,,,200,100-11,,794.73,200,119755
Payroll,Standard,9/13/2026,,,200,100-11,,661.79,200,119769
Payroll,Standard,9/13/2026,,,200,100-11,,1334.75,200,119756
Payroll,Standard,9/13/2026,,,200,100-11,,993.20,200,119770
