JENumber,Type,Date,ReversalDate,JEComment,JELocation,Account,Debit,Credit,DetailLocation,DetailComment
Payroll,Standard,9/13/2026,,,500,100-07,,13059.37,500,NET PAYROLL TAXES
Payroll,Standard,9/13/2026,,,500,145-00,,65.00,500,TRANSPORTATION
Payroll,Standard,9/13/2026,,,500,210-00,14843.11,,500,PAYROLL COST: TIPS
Payroll,Standard,9/13/2026,,,500,220-00,,71.40,500,401K Payable
Payroll,Standard,9/13/2026,,,500,610-01,543.80,,500,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,500,610-01,2325.18,,500,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,500,610-01,26.03,,500,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,500,610-01,225.01,,500,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,500,610-01,211.43,,500,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,500,610-05,,28.20,500,NY SDI
Payroll,Standard,9/13/2026,,,500,610-05,,162.28,500,NYS PFL
Payroll,Standard,9/13/2026,,,500,610-51,930.00,,500,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,500,600-18,327.94,,500,POLISHER
Payroll,Standard,9/13/2026,,,500,600-10,4825.31,,500,WAGES:LINE COOKS
Payroll,Standard,9/13/2026,,,500,600-12,905.51,,500,WAGES:PREP COOK
Payroll,Standard,9/13/2026,,,500,600-14,2325.44,,500,WAGES:COMAL
Payroll,Standard,9/13/2026,,,500,600-05,3526.04,,500,WAGES:DISHWASHERS
Payroll,Standard,9/13/2026,,,500,600-06,1027.87,,500,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,500,600-04,1680.21,,500,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,500,600-04,478.72,,500,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,500,600-06,982.41,,500,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,500,600-03,3306.92,,500,WAGES:WAITERS
Payroll,Standard,9/13/2026,,,500,600-11,1300.64,,500,WAGES:BUSSERS
Payroll,Standard,9/13/2026,,,500,600-16,1107.42,,500,WAGES:RUNNER
Payroll,Standard,9/13/2026,,,500,100-07,,12831.76,500,NET PAYROLL
Payroll,Standard,9/13/2026,,,500,145-00,,65.00,500,TRANSPORTATION
Payroll,Standard,9/13/2026,,,500,220-00,,100.00,500,401K Payable
Payroll,Standard,9/13/2026,,,500,610-01,132.54,,500,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,500,610-01,566.73,,500,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,500,610-01,54.84,,500,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,500,610-01,27.79,,500,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,500,610-05,,3.00,500,NY SDI
Payroll,Standard,9/13/2026,,,500,610-05,,40.33,500,NYS PFL
Payroll,Standard,9/13/2026,,,500,610-06,,131.29,500,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,500,600-01,5202.31,,500,WAGES:FOH MANAGEMENT
Payroll,Standard,9/13/2026,,,500,600-02,4134.62,,500,WAGES:BOH MANAGEMENT
Payroll,Standard,9/13/2026,,,500,100-07,,3553.75,500,NET PAYROLL
Payroll,Standard,9/13/2026,,,500,100-07,,724.06,500,39881
Payroll,Standard,9/13/2026,,,500,100-07,,572.35,500,39895
Payroll,Standard,9/13/2026,,,500,100-07,,466.15,500,39882
Payroll,Standard,9/13/2026,,,500,100-07,,726.93,500,39896
Payroll,Standard,9/13/2026,,,500,100-07,,677.79,500,39883
Payroll,Standard,9/13/2026,,,500,100-07,,697.53,500,39897
Payroll,Standard,9/13/2026,,,500,100-07,,701.31,500,39884
Payroll,Standard,9/13/2026,,,500,100-07,,940.57,500,39898
Payroll,Standard,9/13/2026,,,500,100-07,,525.55,500,39885
Payroll,Standard,9/13/2026,,,500,100-07,,906.53,500,39899
Payroll,Standard,9/13/2026,,,500,100-07,,677.12,500,39886
Payroll,Standard,9/13/2026,,,500,100-07,,576.79,500,39900
Payroll,Standard,9/13/2026,,,500,100-07,,547.14,500,39887
Payroll,Standard,9/13/2026,,,500,100-07,,646.69,500,39901
Payroll,Standard,9/13/2026,,,500,100-07,,706.41,500,39888
Payroll,Standard,9/13/2026,,,500,100-07,,765.14,500,39902
Payroll,Standard,9/13/2026,,,500,100-07,,593.64,500,39889
Payroll,Standard,9/13/2026,,,500,100-07,,695.01,500,39903
Payroll,Standard,9/13/2026,,,500,100-07,,673.66,500,39890
Payroll,Standard,9/13/2026,,,500,100-07,,649.40,500,39904
Payroll,Standard,9/13/2026,,,500,100-07,,487.55,500,39891
Payroll,Standard,9/13/2026,,,500,100-07,,634.41,500,39905
Payroll,Standard,9/13/2026,,,500,100-07,,184.23,500,39892
Payroll,Standard,9/13/2026,,,500,100-07,,563.53,500,39906
Payroll,Standard,9/13/2026,,,500,100-07,,429.62,500,39893
Payroll,Standard,9/13/2026,,,500,100-07,,416.06,500,39907
Payroll,Standard,9/13/2026,,,500,100-07,,1094.13,500,39894
Payroll,Standard,9/13/2026,,,500,100-07,,417.14,500,39908
Payroll,Standard,9/13/2026,,,500,100-07,,1533.48,500,39909
Payroll,Standard,9/13/2026,,,500,100-07,,1676.52,500,39910
