JENumber,Type,Date,ReversalDate,JEComment,JELocation,Account,Debit,Credit,DetailLocation,DetailComment
Payroll,Standard,9/13/2026,,,400,100-03,,29025.97,400,NET PAYROLL TAXES
Payroll,Standard,9/13/2026,,,400,145-00,,52.77,400,TRANSPORTATION
Payroll,Standard,9/13/2026,,,400,210-00,35004.12,,400,PAYROLL COST: TIPS
Payroll,Standard,9/13/2026,,,400,220-00,,318.59,400,401K Payable
Payroll,Standard,9/13/2026,,,400,610-01,1247.48,,400,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,400,610-01,5333.95,,400,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,400,610-01,38.26,,400,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,400,610-01,516.15,,400,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,400,610-01,387.69,,400,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,400,610-05,,54.27,400,NY SDI
Payroll,Standard,9/13/2026,,,400,610-05,,372.32,400,NYS PFL
Payroll,Standard,9/13/2026,,,400,610-06,,100.05,400,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,400,610-51,822.00,,400,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,400,610-52,80.54,,400,PAYROLL COSTS: BONUS
Payroll,Standard,9/13/2026,,,400,600-13,92.31,,400,WAGES:TRAINING
Payroll,Standard,9/13/2026,,,400,600-18,2668.42,,400,WAGES POLISHER
Payroll,Standard,9/13/2026,,,400,600-04,883.29,,400,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,400,600-17,1740.65,,400,WAGES:EXPO
Payroll,Standard,9/13/2026,,,400,600-05,4625.19,,400,WAGES:DISHWASHERS
Payroll,Standard,9/13/2026,,,400,600-31,1217.04,,400,WAGES:PORTER
Payroll,Standard,9/13/2026,,,400,600-06,2441.20,,400,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,400,600-04,1880.52,,400,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,400,600-10,14991.30,,400,WAGES:LINE COOK
Payroll,Standard,9/13/2026,,,400,600-06,1417.69,,400,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,400,600-03,5067.49,,400,WAGES:WAITERS
Payroll,Standard,9/13/2026,,,400,600-12,6601.57,,400,WAGES:PREP COOK
Payroll,Standard,9/13/2026,,,400,600-11,1841.96,,400,WAGES:BUSSERS
Payroll,Standard,9/13/2026,,,400,600-16,3011.91,,400,WAGES:RUNNER
Payroll,Standard,9/13/2026,,,400,600-15,1796.34,,400,WAGES:ADMINISTRATIVE
Payroll,Standard,9/13/2026,,,400,100-03,,41227.09,400,NET PAYROLL
Payroll,Standard,9/13/2026,,,400,110-00,,250.00,400,DUE FROM EMPLOYEES
Payroll,Standard,9/13/2026,,,400,145-00,,27.60,400,TRANSPORTATION
Payroll,Standard,9/13/2026,,,400,610-01,216.78,,400,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,400,610-01,926.93,,400,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,400,610-01,10.38,,400,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,400,610-01,89.70,,400,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,400,610-01,36.35,,400,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,400,610-05,,4.80,400,NY SDI
Payroll,Standard,9/13/2026,,,400,610-05,,55.05,400,NYS PFL
Payroll,Standard,9/13/2026,,,400,610-06,,266.51,400,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,400,610-51,1096.15,,400,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,400,610-52,482.70,,400,PAYROLL COSTS: BONUS
Payroll,Standard,9/13/2026,,,400,600-01,5875.02,,400,WAGES:FOH MANAGEMENT
Payroll,Standard,9/13/2026,,,400,600-02,7790.49,,400,WAGES:BOH MANAGEMENT
Payroll,Standard,9/13/2026,,,400,100-03,,10714.21,400,NET PAYROLL
Payroll,Standard,9/13/2026,,,400,100-03,,588.71,400,78144
Payroll,Standard,9/13/2026,,,400,100-03,,830.65,400,78162
Payroll,Standard,9/13/2026,,,400,100-03,,698.32,400,78145
Payroll,Standard,9/13/2026,,,400,100-03,,847.98,400,78163
Payroll,Standard,9/13/2026,,,400,100-03,,180.59,400,78146
Payroll,Standard,9/13/2026,,,400,100-03,,1039.61,400,78164
Payroll,Standard,9/13/2026,,,400,100-03,,743.34,400,78147
Payroll,Standard,9/13/2026,,,400,100-03,,914.84,400,78165
Payroll,Standard,9/13/2026,,,400,100-03,,809.98,400,78148
Payroll,Standard,9/13/2026,,,400,100-03,,774.92,400,78166
Payroll,Standard,9/13/2026,,,400,100-03,,1432.17,400,78149
Payroll,Standard,9/13/2026,,,400,100-03,,1135.90,400,78167
Payroll,Standard,9/13/2026,,,400,100-03,,841.38,400,78150
Payroll,Standard,9/13/2026,,,400,100-03,,975.74,400,78168
Payroll,Standard,9/13/2026,,,400,100-03,,743.03,400,78151
Payroll,Standard,9/13/2026,,,400,100-03,,328.36,400,78169
Payroll,Standard,9/13/2026,,,400,100-03,,545.18,400,78152
Payroll,Standard,9/13/2026,,,400,100-03,,1150.95,400,78170
Payroll,Standard,9/13/2026,,,400,100-03,,777.02,400,78153
Payroll,Standard,9/13/2026,,,400,100-03,,534.65,400,78171
Payroll,Standard,9/13/2026,,,400,100-03,,797.63,400,78154
Payroll,Standard,9/13/2026,,,400,100-03,,658.69,400,78172
