JENumber,Type,Date,ReversalDate,JEComment,JELocation,Account,Debit,Credit,DetailLocation,DetailComment
Payroll,Standard,9/13/2026,,,600,100-06,,22951.91,600,NET PAYROLL TAXES
Payroll,Standard,9/13/2026,,,600,110-00,,150.00,600,DUE FROM EMPLOYEES
Payroll,Standard,9/13/2026,,,600,145-00,,38.20,600,TRANSPORTATION
Payroll,Standard,9/13/2026,,,600,210-00,32913.92,,600,PAYROLL COST: TIPS
Payroll,Standard,9/13/2026,,,600,220-00,,279.22,600,401K Payable
Payroll,Standard,9/13/2026,,,600,610-01,1036.89,,600,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,600,610-01,4433.79,,600,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,600,610-01,27.31,,600,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,600,610-01,434.09,,600,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,600,610-01,288.75,,600,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,600,610-05,,46.71,600,NY SDI
Payroll,Standard,9/13/2026,,,600,610-05,,309.51,600,NYS PFL
Payroll,Standard,9/13/2026,,,600,610-06,,100.05,600,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,600,610-51,266.50,,600,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,600,600-18,1690.16,,600,POLISHER
Payroll,Standard,9/13/2026,,,600,600-10,8860.72,,600,WAGES:LINE COOK
Payroll,Standard,9/13/2026,,,600,600-12,9533.52,,600,WAGES:PREP COOK
Payroll,Standard,9/13/2026,,,600,600-05,4506.88,,600,WAGES:DISHWASHERS
Payroll,Standard,9/13/2026,,,600,600-06,1976.46,,600,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,600,600-04,1739.50,,600,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,600,600-06,1454.79,,600,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,600,600-03,4347.95,,600,WAGES:WAITERS
Payroll,Standard,9/13/2026,,,600,600-11,2033.36,,600,WAGES:BUSSERS
Payroll,Standard,9/13/2026,,,600,600-16,2326.64,,600,WAGES:RUNNER
Payroll,Standard,9/13/2026,,,600,100-06,,32022.30,600,NET PAYROLL
Payroll,Standard,9/13/2026,,,600,610-01,102.66,,600,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,600,610-01,438.98,,600,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,600,610-01,42.49,,600,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,600,610-01,42.50,,600,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,600,610-05,,2.40,600,NY SDI
Payroll,Standard,9/13/2026,,,600,610-05,,31.15,600,NYS PFL
Payroll,Standard,9/13/2026,,,600,610-06,,131.49,600,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,600,600-01,3365.52,,600,WAGES:FOH MANAGEMENT
Payroll,Standard,9/13/2026,,,600,600-02,3846.16,,600,WAGES:BOH MANAGEMENT
Payroll,Standard,9/13/2026,,,600,100-06,,5027.62,600,NET PAYROLL
Payroll,Standard,9/13/2026,,,600,100-06,,1190.24,600,23042
Payroll,Standard,9/13/2026,,,600,100-06,,290.85,600,23059
Payroll,Standard,9/13/2026,,,600,100-06,,714.74,600,23043
Payroll,Standard,9/13/2026,,,600,100-06,,457.59,600,23060
Payroll,Standard,9/13/2026,,,600,100-06,,1167.34,600,23044
Payroll,Standard,9/13/2026,,,600,100-06,,173.14,600,23061
Payroll,Standard,9/13/2026,,,600,100-06,,860.44,600,23045
Payroll,Standard,9/13/2026,,,600,100-06,,370.58,600,23062
Payroll,Standard,9/13/2026,,,600,100-06,,1153.63,600,23046
Payroll,Standard,9/13/2026,,,600,100-06,,711.62,600,23063
Payroll,Standard,9/13/2026,,,600,100-06,,714.83,600,23047
Payroll,Standard,9/13/2026,,,600,100-06,,760.87,600,23064
Payroll,Standard,9/13/2026,,,600,100-06,,646.04,600,23048
Payroll,Standard,9/13/2026,,,600,100-06,,1140.54,600,23065
Payroll,Standard,9/13/2026,,,600,100-06,,951.72,600,23049
Payroll,Standard,9/13/2026,,,600,100-06,,1148.15,600,23066
Payroll,Standard,9/13/2026,,,600,100-06,,618.20,600,23050
Payroll,Standard,9/13/2026,,,600,100-06,,456.89,600,23067
Payroll,Standard,9/13/2026,,,600,100-06,,668.47,600,23051
Payroll,Standard,9/13/2026,,,600,100-06,,1180.46,600,23068
Payroll,Standard,9/13/2026,,,600,100-06,,730.07,600,23052
Payroll,Standard,9/13/2026,,,600,100-06,,1030.10,600,23069
Payroll,Standard,9/13/2026,,,600,100-06,,641.45,600,23053
Payroll,Standard,9/13/2026,,,600,100-06,,207.75,600,23070
Payroll,Standard,9/13/2026,,,600,100-06,,566.91,600,23054
Payroll,Standard,9/13/2026,,,600,100-06,,1593.80,600,23071
Payroll,Standard,9/13/2026,,,600,100-06,,611.16,600,23055
Payroll,Standard,9/13/2026,,,600,100-06,,787.56,600,23072
Payroll,Standard,9/13/2026,,,600,100-06,,662.06,600,23056
Payroll,Standard,9/13/2026,,,600,100-06,,281.52,600,23073
Payroll,Standard,9/13/2026,,,600,100-06,,344.85,600,23057
Payroll,Standard,9/13/2026,,,600,100-06,,691.95,600,23074
Payroll,Standard,9/13/2026,,,600,100-06,,976.41,600,23058
Payroll,Standard,9/13/2026,,,600,100-06,,117.05,600,23075
