JENumber,Type,Date,ReversalDate,JEComment,JELocation,Account,Debit,Credit,DetailLocation,DetailComment
Payroll,Standard,9/13/2026,,,700,100-08,,9716.20,700,NET PAYROLL TAXES
Payroll,Standard,9/13/2026,,,700,100-08,,105.84,700,EMPLOYEE GARNISHMENTS
Payroll,Standard,9/13/2026,,,700,210-00,10053.33,,700,PAYROLL COST: TIPS
Payroll,Standard,9/13/2026,,,700,220-00,,119.05,700,401K Payable
Payroll,Standard,9/13/2026,,,700,610-01,337.92,,700,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,700,610-01,1444.83,,700,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,700,610-01,22.82,,700,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,700,610-01,26.80,,700,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,700,610-01,106.54,,700,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,700,610-05,,20.28,700,NY SDI
Payroll,Standard,9/13/2026,,,700,610-05,,100.67,700,NYS PFL
Payroll,Standard,9/13/2026,,,700,610-51,568.50,,700,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,700,600-10,4661.63,,700,WAGES:LINE COOK
Payroll,Standard,9/13/2026,,,700,600-12,830.50,,700,WAGES:PREP COOK
Payroll,Standard,9/13/2026,,,700,600-05,2109.30,,700,WAGES:DISHWASHERS
Payroll,Standard,9/13/2026,,,700,600-06,497.36,,700,WAGES:HOST/MAITRE D
Payroll,Standard,9/13/2026,,,700,600-03,1965.80,,700,WAGES:WAITERS
Payroll,Standard,9/13/2026,,,700,600-16,667.72,,700,WAGES:RUNNER
Payroll,Standard,9/13/2026,,,700,600-04,914.13,,700,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,700,600-11,730.60,,700,WAGES:BUSSERS
Payroll,Standard,9/13/2026,,,700,600-13,304.98,,700,WAGES:TRAINING
Payroll,Standard,9/13/2026,,,700,100-08,,10410.04,700,NET PAYROLL
Payroll,Standard,9/13/2026,,,700,145-00,,30.45,700,TRANSPORTATION
Payroll,Standard,9/13/2026,,,700,220-00,,17.40,700,401K Payable
Payroll,Standard,9/13/2026,,,700,610-01,158.87,,700,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,700,610-01,679.30,,700,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,700,610-01,12.61,,700,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,700,610-05,,3.60,700,NY SDI
Payroll,Standard,9/13/2026,,,700,610-05,,48.61,700,NYS PFL
Payroll,Standard,9/13/2026,,,700,610-06,,262.78,700,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,700,610-52,346.16,,700,PAYROLL COSTS: BONUS
Payroll,Standard,9/13/2026,,,700,600-01,7182.37,,700,WAGES:FOH MANAGEMENT
Payroll,Standard,9/13/2026,,,700,600-02,3721.18,,700,WAGES:BOH MANAGEMENT
Payroll,Standard,9/13/2026,,,700,100-08,,8188.97,700,NET PAYROLL
Payroll,Standard,9/13/2026,,,700,100-08,,973.88,700,48537
Payroll,Standard,9/13/2026,,,700,100-08,,1054.13,700,48538
Payroll,Standard,9/13/2026,,,700,100-08,,423.26,700,48546
Payroll,Standard,9/13/2026,,,700,100-08,,811.88,700,48539
Payroll,Standard,9/13/2026,,,700,100-08,,137.12,700,48547
Payroll,Standard,9/13/2026,,,700,100-08,,690.39,700,48540
Payroll,Standard,9/13/2026,,,700,100-08,,503.84,700,48548
Payroll,Standard,9/13/2026,,,700,100-08,,399.75,700,48541
Payroll,Standard,9/13/2026,,,700,100-08,,425.26,700,48549
Payroll,Standard,9/13/2026,,,700,100-08,,518.56,700,48542
Payroll,Standard,9/13/2026,,,700,100-08,,160.97,700,48550
Payroll,Standard,9/13/2026,,,700,100-08,,561.71,700,48543
Payroll,Standard,9/13/2026,,,700,100-08,,518.34,700,48551
Payroll,Standard,9/13/2026,,,700,100-08,,612.08,700,48544
Payroll,Standard,9/13/2026,,,700,100-08,,528.19,700,48552
