JENumber,Type,Date,ReversalDate,JEComment,JELocation,Account,Debit,Credit,DetailLocation,DetailComment
Payroll,Standard,9/13/2026,,,400,100-03,,"68,989.43",400,NET PAYROLL
Payroll,Standard,9/13/2026,,,400,100-03,,"29,025.97",400,NET PAYROLL TAXES
Payroll,Standard,9/13/2026,,,400,145-00,,52.77,400,TRANSPORTATION
Payroll,Standard,9/13/2026,,,400,210-00,"35,004.12",,400,PAYROLL COST: TIPS
Payroll,Standard,9/13/2026,,,400,220-00,,318.59,400,401K Payable
Payroll,Standard,9/13/2026,,,400,610-01,"1,247.48",,400,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,400,610-01,"5,333.95",,400,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,400,610-01,38.26,,400,PAYROLL COSTS FUI
Payroll,Standard,9/13/2026,,,400,610-01,516.15,,400,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,400,610-01,387.69,,400,PAYROLL COSTS SUI
Payroll,Standard,9/13/2026,,,400,610-05,,54.27,400,NY SDI
Payroll,Standard,9/13/2026,,,400,610-05,,372.32,400,NYS PFL
Payroll,Standard,9/13/2026,,,400,610-06,,100.05,400,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,400,610-51,822.00,,400,PAYROLL COSTS: PAID TIME OFF
Payroll,Standard,9/13/2026,,,400,610-52,80.54,,400,PAYROLL COSTS: BONUS
Payroll,Standard,9/13/2026,,,400,600-13,92.31,,400,WAGES:TRAINING
Payroll,Standard,9/13/2026,,,400,600-18,"2,668.42",,400,WAGES POLISHER
Payroll,Standard,9/13/2026,,,400,600-04,883.29,,400,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,400,600-17,"1,740.65",,400,WAGES:EXPO
Payroll,Standard,9/13/2026,,,400,600-05,"4,625.19",,400,WAGES:DISHWASHERS
Payroll,Standard,9/13/2026,,,400,600-31,"1,217.04",,400,WAGES:PORTER
Payroll,Standard,9/13/2026,,,400,600-06,"2,441.20",,400,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,400,600-04,"1,880.52",,400,WAGES:BAR/SOMM
Payroll,Standard,9/13/2026,,,400,600-10,"14,991.30",,400,WAGES:LINE COOK
Payroll,Standard,9/13/2026,,,400,600-06,"1,417.69",,400,WAGES:HOSTS/MAITRE'D
Payroll,Standard,9/13/2026,,,400,600-03,"5,067.49",,400,WAGES:WAITERS
