JENumber,Type,Date,ReversalDate,JEComment,JELocation,Account,Debit,Credit,DetailLocation,DetailComment
Payroll,Standard,9/13/2026,,,800,100-20,,17211.41,800,NET PAYROLL TAXES
Payroll,Standard,9/13/2026,,,800,110-00,,200.00,800,DUE FROM EMPLOYEES
Payroll,Standard,9/13/2026,,,800,145-00,,43.75,800,TRANSPORTATION
Payroll,Standard,9/13/2026,,,800,220-00,,5132.69,800,401K Payable
Payroll,Standard,9/13/2026,,,800,610-01,947.68,,800,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,800,610-01,4052.14,,800,PAYROLL COSTS FICA
Payroll,Standard,9/13/2026,,,800,610-01,75.17,,800,PAYROLL COSTS NY MTA TAX
Payroll,Standard,9/13/2026,,,800,610-05,,6.60,800,NY SDI
Payroll,Standard,9/13/2026,,,800,610-05,,43.58,800,NYS PFL
Payroll,Standard,9/13/2026,,,800,610-06,,262.98,800,EMPLOYEE BENEFITS
Payroll,Standard,9/13/2026,,,800,610-52,35000.00,,800,PAYROLL COSTS: BONUS
Payroll,Standard,9/13/2026,,,800,600-15,7259.64,,800,WAGES:ADMINISTRATIVE
Payroll,Standard,9/13/2026,,,800,600-01,13461.62,,800,WAGES:FOH MANAGEMENT
Payroll,Standard,9/13/2026,,,800,600-20,1576.92,,800,WAGES:MAINTEANCE
Payroll,Standard,9/13/2026,,,800,600-02,8365.42,,800,WAGES:BOH MANAGEMENT
Payroll,Standard,9/13/2026,,,800,100-20,,47837.58,800,NET PAYROLL
