Client Name,Client ID,GL Check Date,GL Org Description,GL Org Code,GL Account Number,Debit Amount,Credit Amount,GL Account Name
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,100-03,,68989.4300,NET PAYROLL
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,100-03,,23819.6400,NET PAYROLL TAXES
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,145-00,,52.7700,TRANSPORTATION
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,210-00,35004.1200,,PAYROLL COST: TIPS
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,220-00,,318.5900,401K Payable
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,1247.4800,,PAYROLL COSTS FICA
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,5333.9500,,PAYROLL COSTS FICA
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,38.2600,,PAYROLL COSTS FUI
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,516.1500,,PAYROLL COSTS NY MTA TAX
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-01,387.6900,,PAYROLL COSTS SUI
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-05,,54.2700,NY SDI
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-05,,372.3200,NYS PFL
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-06,,100.0500,EMPLOYEE BENEFITS
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-51,822.0000,,PAYROLL COSTS: PAID TIME OFF
"38 MACDOUGAL, LLC.",154921,09/18/2026,ZZZZ,,610-52,80.5400,,PAYROLL COSTS: BONUS
"38 MACDOUGAL, LLC.",154921,09/18/2026,TRAINING,100,600-13,92.3100,,WAGES:TRAINING
"38 MACDOUGAL, LLC.",154921,09/18/2026,POLISHER,101,600-18,2668.4200,,WAGES POLISHER
"38 MACDOUGAL, LLC.",154921,09/18/2026,BARBACK,102,600-04,883.2900,,WAGES:BAR/SOMM
"38 MACDOUGAL, LLC.",154921,09/18/2026,EXPO,13,600-17,1740.6500,,WAGES:EXPO
"38 MACDOUGAL, LLC.",154921,09/18/2026,DISHWASHERS,26,600-05,4625.1900,,WAGES:DISHWASHERS
"38 MACDOUGAL, LLC.",154921,09/18/2026,PORTERS,30,600-31,1217.0400,,WAGES:PORTER
"38 MACDOUGAL, LLC.",154921,09/18/2026,HOSTS,35,600-06,2441.2000,,WAGES:HOSTS/MAITRE'D
"38 MACDOUGAL, LLC.",154921,09/18/2026,BAR,40,600-04,1880.5200,,WAGES:BAR/SOMM
"38 MACDOUGAL, LLC.",154921,09/18/2026,LINE COOKS,46,600-10,14991.3000,,WAGES:LINE COOK
"38 MACDOUGAL, LLC.",154921,09/18/2026,MAITRE'D,5,600-06,1417.6900,,WAGES:HOSTS/MAITRE'D
"38 MACDOUGAL, LLC.",154921,09/18/2026,SERVERS,50,600-03,5067.4900,,WAGES:WAITERS
"38 MACDOUGAL, LLC.",154921,09/18/2026,PREP COOKS,51,600-12,6601.5700,,WAGES:PREP COOK
"38 MACDOUGAL, LLC.",154921,09/18/2026,BUSSERS,55,600-11,1841.9600,,WAGES:BUSSERS
"38 MACDOUGAL, LLC.",154921,09/18/2026,RUNNERS,60,600-16,3011.9100,,WAGES:RUNNER
"38 MACDOUGAL, LLC.",154921,09/18/2026,ADMINISTRATIVE,91,600-15,1796.3400,,WAGES:ADMINISTRATIVE
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,93707.0700,93707.0700, 
*TOTAL Client ID      154921
 ,, , , , ,93707.0700,93707.0700, 
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,100-08,,105.8400,EMPLOYEE GARNISHMENTS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,100-08,,18401.9500,NET PAYROLL
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,100-08,,6167.5200,NET PAYROLL TAXES
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,100-08,,327.4500,PARTIAL DIRECT DEPOSITS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,210-00,10053.3300,,PAYROLL COST: TIPS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,220-00,,119.0500,401K Payable
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,337.9200,,PAYROLL COSTS FICA
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,1444.8300,,PAYROLL COSTS FICA
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,22.8200,,PAYROLL COSTS FUI
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,26.8000,,PAYROLL COSTS NY MTA TAX
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-01,106.5400,,PAYROLL COSTS SUI
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-05,,20.2800,NY SDI
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-05,,100.6700,NYS PFL
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,ZZZZ,,610-51,568.5000,,PAYROLL COSTS: PAID TIME OFF
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,LINE COOKS,20,600-10,4661.6300,,WAGES:LINE COOK
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,PREP COOKS,30,600-12,830.5000,,WAGES:PREP COOK
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,DISHWASHERS,40,600-05,2109.3000,,WAGES:DISHWASHERS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,HOSTS,50,600-06,497.3600,,WAGES:HOST/MAITRE D
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,SERVERS,60,600-03,1965.8000,,WAGES:WAITERS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,RUNNERS,65,600-16,667.7200,,WAGES:RUNNER
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,BAR,70,600-04,914.1300,,WAGES:BAR/SOMM
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,BUSSERS,80,600-11,730.6000,,WAGES:BUSSERS
31 GREAT JONES RESTAURANT CORP,154922,09/18/2026,TRAINING,97,600-13,304.9800,,WAGES:TRAINING
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,25242.7600,25242.7600, 
*TOTAL Client ID      154922
