North Torrance | verified 325 | approve+close sent
Lakewood | verified 201 | approve+close sent
Anaheim | verified 160 | approve+close sent
Orange | verified 166 | approve+close sent
Huntington Beach | verified 199 | approve+close sent
Costa Mesa | verified 276 | approve+close sent
Whittier | verified 350 | approve+close sent
South Torrance | verified 301 | approve+close sent
West Covina | verified 160 | approve+close sent
Claremont | verified 419 | approve+close sent
Santa Ana | verified 209 | approve+close sent
Downey | verified 201 | approve+close sent
Riverside | verified 786 | approve+close sent
La Cienega | verified 1150 | approve+close sent
Pico Rivera | verified 88 | approve+close sent
El Monte | verified 309 | approve+close sent
Inglewood | verified 535 | approve+close sent
Rialto | verified 1126 | approve+close sent
Ontario | verified 1298 | approve+close sent
Norms Support Center | verified 132 | approve+close sent
DONE
